station,latitude,longitude
A3 [AQ],51.37348,-0.291853
AGRN [AQ],52.437165,-1.829999
ARM6 [AQ],54.353728,-6.654558
BAAR [AQ],54.851491,-6.274961
BALM [AQ],54.861595,-6.250873
BATH [AQ],51.391127,-2.354155
BEX [AQ],51.46603,0.184806
BHA4 [AQ],51.390922,-2.35503
BIR1 [AQ],52.511722,-1.830583
BIR2 [AQ],52.49763,-1.831498
BIRM [AQ],52.479724,-1.908078
BIRR [AQ],52.47609,-1.875024
BIRT [AQ],52.512194,-1.830861
BMLD [AQ],52.481346,-1.918235
BOT [AQ],52.93028,-0.814722
BR11 [AQ],51.457968,-2.583975
BRI [AQ],51.49521,-0.141655
BRIS [AQ],51.45718,-2.585622
BRN [AQ],51.489448,-0.310121
BRS [AQ],51.45365,-2.578496
BRS2 [AQ],51.45603,-2.583519
BRS8 [AQ],51.462839,-2.584482
BRT3 [AQ],50.840836,-0.147572
BURW [AQ],53.559029,-2.293772
BURY [AQ],53.53911,-2.289611
BUSH [AQ],55.862281,-3.205782
BY1 [AQ],51.4071,0.020128
BY2 [AQ],51.40555,0.018869
CA1 [AQ],51.54421,-0.175269
CAMB [AQ],51.995804,0.037756
CAN [AQ],51.53308,0.567837
CAR [AQ],51.482431,-3.17794
CAR2 [AQ],51.48887,-3.163711
CARD [AQ],51.48178,-3.17625
CARL [AQ],54.894834,-2.945307
CHAT [AQ],51.374264,0.54797
CHIL [AQ],50.962706,-1.424677
CLL [AQ],51.494722,-0.138333
CLL2 [AQ],51.52229,-0.125889
CNPR [AQ],51.49096,-3.152305
COBR [AQ],52.407708,-1.490082
CRD [AQ],51.49492,-0.180564
CRD2 [AQ],51.495483,-0.178709
DCC1 [AQ],56.475434,-2.959861
DCST [AQ],53.51824,-1.138057
DERR [AQ],55.002818,-7.331179
DERY [AQ],55.001225,-7.329115
DESA [AQ],52.922983,-1.469507
DUMB [AQ],55.943197,-4.55973
EA8 [AQ],51.51895,-0.265617
EAGL [AQ],54.516667,-1.358547
ECCL [AQ],53.48481,-2.334139
ED [AQ],55.95197,-3.195775
ED2 [AQ],55.94427,-3.191183
ED3 [AQ],55.945589,-3.182186
EDNS [AQ],55.94476,-3.183991
ESK [AQ],55.31531,-3.206111
GGWR [AQ],55.872038,-4.270936
GHSR [AQ],55.860936,-4.238214
GKA8 [AQ],55.944079,-4.734421
GLA [AQ],55.860414,-4.245959
GLA3 [AQ],55.85773,-4.255161
GLA4 [AQ],55.85917,-4.258889
GLAS [AQ],55.858317,-4.259062
GLAZ [AQ],53.46008,-2.472056
GLKP [AQ],55.865782,-4.243631
GRA2 [AQ],56.013142,-3.710833
GRAN [AQ],56.010319,-3.704399
HAR [AQ],51.571078,-1.325283
HIL [AQ],51.49633,-0.460861
HM [AQ],54.334944,-0.80855
HORS [AQ],51.49467,-0.131931
HOVE [AQ],50.82778,-0.170294
HRL [AQ],51.48879,-0.441614
HS1 [AQ],51.48965,-0.308975
INV2 [AQ],57.481308,-4.241451
KC1 [AQ],51.52105,-0.213492
LB [AQ],53.40337,-1.752006
LIVR [AQ],53.40845,-2.980249
LN [AQ],54.43951,-7.900328
LON5 [AQ],51.52378,-0.128958
LON6 [AQ],51.45258,0.070766
LUTR [AQ],51.892293,-0.46211
LV6 [AQ],53.446944,-2.9625
LVP [AQ],53.34633,-2.844333
MACK [AQ],51.05625,-2.68345
MAHG [AQ],53.371306,-2.239218
MAN [AQ],53.4785,-2.2448
MAN3 [AQ],53.48152,-2.237881
MAN4 [AQ],53.369026,-2.24328
MID [AQ],54.569297,-1.220874
MKTH [AQ],52.554444,-0.772222
MY1 [AQ],51.52253,-0.154611
NCA3 [AQ],54.986405,-1.595362
NEWC [AQ],54.97825,-1.610528
NOTT [AQ],52.95473,-1.146447
NWBV [AQ],52.969377,-1.188851
PLYM [AQ],50.37167,-4.142361
PLYR [AQ],50.411058,-4.130288
REA1 [AQ],51.45309,-0.944067
REA5 [AQ],51.454896,-0.940382
READ [AQ],51.45352,-0.95518
ROCH [AQ],51.45617,0.634889
ROTH [AQ],53.43186,-1.354444
SA33 [AQ],50.920265,-1.463484
SALT [AQ],50.4131,-4.2303
SASH [AQ],50.411463,-4.227678
SEND [AQ],51.544206,0.678408
SHBR [AQ],53.40495,-1.455815
SHDG [AQ],53.378622,-1.478096
SHE [AQ],53.41058,-1.396139
SHE2 [AQ],53.37772,-1.473306
SHLW [AQ],53.451826,-2.742134
SK1 [AQ],51.49055,-0.096667
SOM [AQ],51.03572,-2.735253
SOTR [AQ],54.565819,-1.3159
SOUT [AQ],50.90814,-1.395778
STE [AQ],51.886944,-0.200833
STK4 [AQ],53.40306,-2.161111
STKR [AQ],52.980436,-2.111898
STOC [AQ],53.40994,-2.1582
STOK [AQ],53.02821,-2.175133
STOR [AQ],50.916932,-0.449548
SUN2 [AQ],54.88361,-1.406878
SUND [AQ],54.906106,-1.380081
SUNR [AQ],54.91839,-1.408391
SUT1 [AQ],51.36636,-0.182789
SUT3 [AQ],51.36789,-0.165489
SWHO [AQ],51.558061,-1.765678
TED [AQ],51.42099,-0.339647
TED2 [AQ],51.425286,-0.345606
THUR [AQ],51.47707,0.317969
WA2 [AQ],51.45696,-0.191164
WAR [AQ],53.38928,-2.615358
WEYB [AQ],52.95049,1.122017
WL [AQ],51.4938,-0.200361
WSMR [AQ],53.365391,-2.73168
WTHG [AQ],50.832947,-0.379916
YARM [AQ],54.50918,-1.354319
YK10 [AQ],53.967513,-1.086514
YK11 [AQ],53.951889,-1.075861
